[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
RNW,13.24,CAD,0,0,0,0,0,0,0,0,0
XEG,14.68,CAD,0,0,0,0,0,0,0,0,0
NTR,80.1,CAD,0,0,0,0,0,0,0,0,0
PEY,11.22,CAD,0,0,0,0,0,0,0,0,0
NA,99.8,CAD,0,0,0,0,0,0,0,0,0
BCE,58.57,CAD,0,0,0,0,0,0,0,0,0
WCP,9.61,CAD,0,0,0,0,0,0,0,0,0
AR,0.6,CAD,0,0,0,0,0,0,0,0,0
SLF,67.56,CAD,0,0,0,0,0,0,0,0,0
T,24.32,CAD,0,0,0,0,0,0,0,0,0
TVE,3.63,CAD,0,0,0,0,0,0,0,0,0
BN,45.45,CAD,0,0,0,0,0,0,0,0,0
IVN,12.7,CAD,0,0,0,0,0,0,0,0,0
MEG,22.92,CAD,0,0,0,0,0,0,0,0,0
BMO,121.37,CAD,0,0,0,0,0,0,0,0,0
BTO,4.82,CAD,0,0,0,0,0,0,0,0,0
TOU,64.3,CAD,0,0,0,0,0,0,0,0,0
HBM,7.06,CAD,0,0,0,0,0,0,0,0,0
XIU,30.86,CAD,0,0,0,0,0,0,0,0,0
FM,34.58,CAD,0,0,0,0,0,0,0,0,0
AC,24.75,CAD,0,0,0,0,0,0,0,0,0
LUN,11.22,CAD,0,0,0,0,0,0,0,0,0
HNU,13.77,CAD,0,0,0,0,0,0,0,0,0
BB,6.46,CAD,0,0,0,0,0,0,0,0,0
K,6.71,CAD,0,0,0,0,0,0,0,0,0
ARX,18.23,CAD,0,0,0,0,0,0,0,0,0
PPL,40.77,CAD,0,0,0,0,0,0,0,0,0
CM,56.68,CAD,0,0,0,0,0,0,0,0,0
ABX,22.95,CAD,0,0,0,0,0,0,0,0,0
AQN,10.75,CAD,0,0,0,0,0,0,0,0,0
BITF,2.61,CAD,0,0,0,0,0,0,0,0,0
SHOP,90.55,CAD,0,0,0,0,0,0,0,0,0
POW,37.19,CAD,0,0,0,0,0,0,0,0,0
CVE,22.81,CAD,0,0,0,0,0,0,0,0,0
RY,128.12,CAD,0,0,0,0,0,0,0,0,0
CPG,9.34,CAD,0,0,0,0,0,0,0,0,0
MFC,24.92,CAD,0,0,0,0,0,0,0,0,0
BTE,4.55,CAD,0,0,0,0,0,0,0,0,0
SU,38.25,CAD,0,0,0,0,0,0,0,0,0
ENB,48.64,CAD,0,0,0,0,0,0,0,0,0
HUT,5.5,CAD,0,0,0,0,0,0,0,0,0
BNS,65.32,CAD,0,0,0,0,0,0,0,0,0
TRP,51.67,CAD,0,0,0,0,0,0,0,0,0
CNQ,74.87,CAD,0,0,0,0,0,0,0,0,0
TD,83.88,CAD,0,0,0,0,0,0,0,0,0
